Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
1 - Đăng ký tài khoản khách hàng	https://github.com/Long1504/Hotel_Booking_System/issues/1	Long1504, ngoc0110	Done		3 / 3 (100%)
2 - Đăng nhập	https://github.com/Long1504/Hotel_Booking_System/issues/2	ngoc0110	Done		7 / 7 (100%)
3 - Đăng xuất	https://github.com/Long1504/Hotel_Booking_System/issues/3	Long1504, PhamThuHa1712	Done		7 / 7 (100%)
4 - Quản lý thông tin cá nhân	https://github.com/Long1504/Hotel_Booking_System/issues/4	PhamThuHa1712, vunguyen0510	Done		3 / 3 (100%)
5 - Đổi mật khẩu	https://github.com/Long1504/Hotel_Booking_System/issues/5	PhamThuHa1712, vunguyen0510	Done		3 / 3 (100%)
6 - Xem danh sách phòng	https://github.com/Long1504/Hotel_Booking_System/issues/8	Long1504, PhamThuHa1712, vunguyen0510	Done		5 / 5 (100%)
7 - Lọc phòng	https://github.com/Long1504/Hotel_Booking_System/issues/7	Long1504, PhamThuHa1712, vunguyen0510	Done		5 / 5 (100%)
9 - Xem chi tiết phòng	https://github.com/Long1504/Hotel_Booking_System/issues/9	Long1504, ngoc0110, vunguyen0510	Done		5 / 5 (100%)
10 - Đặt phòng	https://github.com/Long1504/Hotel_Booking_System/issues/10	Long1504, ngoc0110	Done		5 / 5 (100%)
11 - Hủy đặt phòng	https://github.com/Long1504/Hotel_Booking_System/issues/11	Long1504, PhamThuHa1712	Done		3 / 3 (100%)
12 - Xem lịch sử đặt phòng	https://github.com/Long1504/Hotel_Booking_System/issues/12	Long1504, PhamThuHa1712	Done		3 / 3 (100%)
13 - Xem danh sách đặt phòng	https://github.com/Long1504/Hotel_Booking_System/issues/13	Long1504	Done		3 / 3 (100%)
14 - Cập nhật trạng thái đặt phòng	https://github.com/Long1504/Hotel_Booking_System/issues/14	Long1504	Done		3 / 3 (100%)
16 - Xem danh sách khách hàng	https://github.com/Long1504/Hotel_Booking_System/issues/16	vunguyen0510	Done		3 / 3 (100%)
17 - Khóa/Mở tài khoản khách hàng	https://github.com/Long1504/Hotel_Booking_System/issues/17	vunguyen0510	Done		3 / 3 (100%)
18 - Xem danh sách nhân viên	https://github.com/Long1504/Hotel_Booking_System/issues/18	Long1504	Done		3 / 3 (100%)
19 - Thêm nhân viên	https://github.com/Long1504/Hotel_Booking_System/issues/19	Long1504	Done		3 / 3 (100%)
20 - Sửa nhân viên	https://github.com/Long1504/Hotel_Booking_System/issues/20	Long1504	Done		3 / 3 (100%)
21 - Xóa nhân viên	https://github.com/Long1504/Hotel_Booking_System/issues/21	Long1504	Done		3 / 3 (100%)
22 - Khóa/Mở tài khoản nhân viên	https://github.com/Long1504/Hotel_Booking_System/issues/22	Long1504	Done		3 / 3 (100%)
23 - Xem danh sách loại phòng	https://github.com/Long1504/Hotel_Booking_System/issues/23	vunguyen0510	Done		3 / 3 (100%)
24 - Thêm loại phòng	https://github.com/Long1504/Hotel_Booking_System/issues/24	vunguyen0510	Done		3 / 3 (100%)
25 - Sửa loại phòng	https://github.com/Long1504/Hotel_Booking_System/issues/25	vunguyen0510	Done		3 / 3 (100%)
26 - Xóa loại phòng	https://github.com/Long1504/Hotel_Booking_System/issues/26	vunguyen0510	Done		3 / 3 (100%)
27 - Xem danh sách tiện nghi	https://github.com/Long1504/Hotel_Booking_System/issues/27	ngoc0110	Done		3 / 3 (100%)
28 - Thêm tiện nghi	https://github.com/Long1504/Hotel_Booking_System/issues/28	ngoc0110	Done		3 / 3 (100%)
29 - Sửa tiện nghi	https://github.com/Long1504/Hotel_Booking_System/issues/29	ngoc0110	Done		3 / 3 (100%)
30 - Xóa tiện nghi	https://github.com/Long1504/Hotel_Booking_System/issues/30	ngoc0110	Done		3 / 3 (100%)
31 - Xem danh sách view	https://github.com/Long1504/Hotel_Booking_System/issues/31	PhamThuHa1712	Done		3 / 3 (100%)
32 - Thêm view	https://github.com/Long1504/Hotel_Booking_System/issues/32	PhamThuHa1712	Done		3 / 3 (100%)
33 - Sửa view	https://github.com/Long1504/Hotel_Booking_System/issues/33	PhamThuHa1712	Done		3 / 3 (100%)
34 - Xóa view	https://github.com/Long1504/Hotel_Booking_System/issues/34	PhamThuHa1712	Done		3 / 3 (100%)
35 - Xem danh sách phòng	https://github.com/Long1504/Hotel_Booking_System/issues/168	Long1504	Done		3 / 3 (100%)
36 - Thêm phòng	https://github.com/Long1504/Hotel_Booking_System/issues/172	Long1504	Done		3 / 3 (100%)
37 - Sửa phòng	https://github.com/Long1504/Hotel_Booking_System/issues/176	Long1504	Done		3 / 3 (100%)
38 - Xóa phòng	https://github.com/Long1504/Hotel_Booking_System/issues/180	Long1504	Done		3 / 3 (100%)
40 - Xem báo cáo thống kê	https://github.com/Long1504/Hotel_Booking_System/issues/40	Long1504	Done		3 / 3 (100%)
